Scc [2018-11-22 00:02:36 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:02:36 / SiteController(607)(actionWaiterkirim)]: [tri | add 114 to 14330]
Scc [2018-11-22 00:02:36 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:02:36 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:02:36 / SiteController(607)(actionWaiterkirim)]: [tri | add 114 to 14330]
Scc [2018-11-22 00:20:30 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:20:30 / SiteController(607)(actionWaiterkirim)]: [tri | add 114 to 14330]
Scc [2018-11-22 00:20:30 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:20:30 / SiteController(607)(actionWaiterkirim)]: [tri | add 115 to 14330]
Scc [2018-11-22 00:43:21 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 00:43:21 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 114 to 14330]
Scc [2018-11-22 00:43:21 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 00:43:21 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 00:43:21 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 114 to 14330]
Scc [2018-11-22 00:43:49 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 00:43:50 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 114 to 14330]
Scc [2018-11-22 00:43:50 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 00:53:29 / SiteController(538)(actionUpdatetable)]: [tri (127.0.0.1) | Pindah meja dari 83 ke 85]
Scc [2018-11-22 22:37:02 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 22:40:06 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 115 to 14330]
Scc [2018-11-22 22:40:23 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 114 to 14330]
Scc [2018-11-22 22:44:15 / SiteController(607)(actionWaiterkirim)]: [tri (127.0.0.1) | add 114 to 14330]
